host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
266763,5,1,1.44255,103.7958,2,83,180,1,20131021,0.01,2,365
227796,1,2,1.33235,103.78521,2,81,90,18,20141226,0.28,1,365
266763,5,1,1.44246,103.79667,2,69,6,20,20151001,0.2,2,365
367042,3,3,1.34541,103.95712,2,206,1,14,20190811,0.15,9,353
367042,3,3,1.34567,103.95963,2,94,1,22,20190728,0.22,9,355
367042,3,3,1.34702,103.96103,2,104,1,39,20190815,0.38,9,346
367042,3,3,1.34348,103.96337,2,208,1,25,20190725,0.25,9,172
1017645,3,4,1.32304,103.91363,2,50,90,174,20190531,1.88,4,59
1017645,3,4,1.32458,103.91163,2,54,90,198,20190428,2.08,4,133
1017645,3,4,1.32461,103.91191,2,42,90,236,20190731,2.53,4,147
1439258,1,5,1.28875,103.80814,2,44,15,18,20190421,0.23,32,331
1439258,1,5,1.28837,103.81099,2,40,30,10,20180913,0.11,32,276
367042,3,3,1.34561,103.95984,2,417,2,12,20190101,0.14,9,239
1521514,1,6,1.31125,103.83816,2,65,2,125,20190822,1.35,6,336
1439258,1,5,1.28976,103.80896,2,44,30,13,20190202,0.15,32,340
1439258,1,5,1.28677,103.81244,2,40,30,10,20190427,0.14,32,331
1439258,1,5,1.28537,103.81087,2,31,90,3,20160822,0.04,32,361
367042,3,3,1.34943,103.95951,2,49,2,45,20190811,0.5,9,357
1759905,1,7,1.3142,103.90232,2,81,90,0,-1,-1.0,1,173
1521514,1,6,1.3115,103.83759,2,60,2,84,20190710,1.17,6,340
1521514,1,6,1.31159,103.83805,2,60,2,157,20190815,1.75,6,349
1975201,1,8,1.29345,103.83562,2,56,90,27,20170807,0.36,1,364
367042,3,3,1.34838,103.9592,2,104,1,16,20190804,0.19,9,300
2386154,3,3,1.34816,103.93238,2,37,180,0,-1,-1.0,1,365
1030128,2,9,1.34135,103.71139,2,53,2,23,20190811,0.27,3,345
